gene_id,gene_name,PT916-MYO,PT886-LEIO,PT967-MYO,PT886-MYO,PT916-LEIO,PT1063-LEIO,PT1063-MYO,PT848-MYO,PT967-LEIO,PT848-LEIO
ENSG00000238164,TNFRSF14-AS1,12,3,13,14,6,4,18,25,5,6
ENSG00000157873,TNFRSF14,335,195,533,420,278,237,498,391,211,232
ENSG00000225931,ENSG00000225931,7,5,6,8,9,6,8,3,1,8
ENSG00000228037,ENSG00000228037,1,1,0,1,1,3,2,0,3,0
ENSG00000157870,PRXL2B,115,101,99,81,124,69,149,142,111,112
ENSG00000142606,MMEL1,2,1,5,1,0,2,9,0,1,3
ENSG00000237058,MMEL1-AS1,0,0,0,0,0,0,0,0,0,0
ENSG00000215912,TTC34,45,43,30,43,70,42,45,29,20,45
ENSG00000283259,ENSG00000283259,0,0,0,0,0,0,0,0,0,0
ENSG00000233234,ENSG00000233234,0,0,0,0,0,0,0,0,0,0
ENSG00000231630,ENSG00000231630,0,0,0,0,0,0,0,0,0,0
ENSG00000284745,ENSG00000284745,0,0,0,0,0,0,0,0,0,0
ENSG00000169717,ACTRT2,0,0,0,0,0,0,0,0,0,0
ENSG00000177133,PRDM16-DT,40,12,64,40,23,6,39,11,3,6
ENSG00000142611,PRDM16,122,71,165,101,96,26,112,28,29,38
ENSG00000283572,MIR4251,0,0,0,1,0,0,0,0,0,0
ENSG00000226286,ENSG00000226286,0,0,0,0,0,0,0,0,0,0
ENSG00000279839,ENSG00000279839,6,8,5,7,4,2,4,2,0,1
ENSG00000272235,ENSG00000272235,0,1,0,0,0,0,1,0,1,0
ENSG00000130762,ARHGEF16,2,2,5,5,0,0,1,3,1,0
ENSG00000272088,ENSG00000272088,0,0,0,0,0,0,0,0,0,0
ENSG00000162591,MEGF6,526,400,203,313,127,125,197,146,59,66
ENSG00000207776,MIR551A,0,0,0,1,0,0,0,0,1,0
ENSG00000238260,ENSG00000238260,2,5,3,1,2,7,2,2,3,2
ENSG00000158109,TPRG1L,489,307,925,315,333,337,786,438,486,393
ENSG00000116213,WRAP73,103,106,129,87,133,117,170,168,168,160
ENSG00000078900,TP73,1,2,2,1,0,3,1,5,0,2
ENSG00000227589,TP73-AS3,0,0,0,0,0,0,0,0,0,0
ENSG00000235131,TP73-AS2,0,0,0,0,0,0,0,0,0,0
ENSG00000227372,GFOD3P,353,376,434,334,502,410,466,447,392,396
ENSG00000276189,ENSG00000276189,0,0,0,0,0,0,0,0,0,0
ENSG00000162592,CCDC27,0,0,0,3,0,0,0,1,1,1
ENSG00000235169,SMIM1,7,3,12,5,11,4,8,9,9,3
ENSG00000130764,LRRC47,437,379,651,330,397,379,608,476,571,512
ENSG00000266075,RN7SL574P,0,0,0,2,1,2,1,0,1,1
ENSG00000272153,ENSG00000272153,4,3,3,11,2,3,5,2,1,4
ENSG00000116198,CEP104,562,464,778,366,434,348,609,502,559,478
ENSG00000169598,DFFB,55,48,92,51,69,53,82,75,96,78
ENSG00000198912,C1orf174,176,134,161,78,158,138,183,206,217,216
ENSG00000236423,LINC01134,0,1,1,2,3,2,3,5,1,2
ENSG00000233304,LINC01346,2,3,0,3,1,5,4,3,1,7
ENSG00000226374,LINC01345,0,4,0,1,1,14,0,2,1,4
ENSG00000284668,LINC02780,0,0,0,0,0,0,0,0,0,0
ENSG00000284703,ENSG00000284703,0,0,0,0,0,0,0,0,0,0
ENSG00000229280,EEF1DP6,0,0,0,0,0,0,0,0,0,0
ENSG00000235054,LINC01777,0,0,0,0,0,0,0,0,0,0
ENSG00000284694,ENSG00000284694,0,0,0,0,0,0,0,0,0,0
ENSG00000227169,ENSG00000227169,0,0,0,0,0,0,0,0,0,0
ENSG00000232596,LINC01646,0,0,0,0,0,0,0,0,0,0
ENSG00000196581,AJAP1,33,14,24,31,32,87,58,89,39,96
ENSG00000284739,ENSG00000284739,0,0,0,0,0,0,0,0,0,0
ENSG00000284674,LINC02781,0,0,0,0,0,0,0,0,0,0
ENSG00000231510,LINC02782,0,0,0,0,0,0,0,0,0,0
ENSG00000284616,ENSG00000284616,0,0,0,0,0,0,0,0,0,0
ENSG00000284692,ENSG00000284692,0,0,0,0,0,0,0,0,0,0
ENSG00000284666,ENSG00000284666,0,0,0,0,0,0,0,0,0,0
ENSG00000260972,ENSG00000260972,0,0,0,0,0,0,0,0,0,0
ENSG00000283356,ENSG00000283356,0,0,0,0,0,0,0,0,0,0
ENSG00000236948,,0,0,1,0,0,0,2,0,0,0
ENSG00000264341,ENSG00000264341,0,0,0,0,0,0,0,0,0,0
ENSG00000264101,MIR4689,0,2,0,0,0,1,0,0,0,3
ENSG00000131697,NPHP4,201,257,212,218,170,159,222,233,202,180
ENSG00000069424,KCNAB2,126,149,218,132,135,157,212,213,217,185
ENSG00000116254,CHD5,17,39,11,9,70,42,6,6,338,61
ENSG00000116251,RPL22,1342,1026,2133,463,1165,1729,2161,1508,1909,1652
ENSG00000226944,RNF207-AS1,0,2,1,0,2,2,3,2,2,0
ENSG00000158286,RNF207,58,177,157,148,214,210,109,190,306,328
ENSG00000116237,ICMT,772,890,945,663,707,633,1031,1018,1206,960
ENSG00000225077,ICMT-DT,0,0,0,0,0,0,1,1,0,0
ENSG00000173673,HES3,0,0,0,1,0,0,0,0,0,0
ENSG00000158292,GPR153,183,511,165,187,148,208,237,304,263,403
ENSG00000097021,ACOT7,112,237,130,93,109,105,155,166,198,168
ENSG00000271746,ENSG00000271746,2,4,4,3,1,7,3,4,4,4
ENSG00000069812,HES2,1,2,2,0,2,1,0,4,0,1
ENSG00000187017,ESPN,0,2,0,2,0,3,2,2,0,0
ENSG00000265392,MIR4252,0,0,0,0,0,0,0,0,0,0
ENSG00000231868,ENSG00000231868,0,0,0,0,0,0,0,0,0,0
ENSG00000215788,TNFRSF25,73,105,82,53,118,78,84,106,70,85
ENSG00000171680,PLEKHG5,319,379,347,271,370,300,380,513,298,388
ENSG00000162408,NOL9,603,545,833,534,645,617,905,765,736,686
ENSG00000253022,RNU6-731P,0,0,0,0,0,0,0,0,0,0
ENSG00000229519,ENSG00000229519,0,0,0,0,0,0,0,0,0,2
ENSG00000173662,TAS1R1,2,1,1,0,0,0,0,1,0,1
ENSG00000204859,ZBTB48,135,156,206,149,162,164,226,218,221,163
ENSG00000162413,KLHL21,345,318,1173,359,544,554,804,545,790,587
ENSG00000116273,PHF13,244,334,297,218,287,325,467,319,618,507
ENSG00000041988,THAP3,83,95,122,71,89,88,161,116,133,124
ENSG00000007923,DNAJC11,390,427,436,355,392,363,466,483,453,493
ENSG00000228750,LINC01672,0,0,0,0,0,0,0,0,0,0
ENSG00000284744,ENSG00000284744,0,0,0,0,0,0,0,1,0,0
ENSG00000237436,CAMTA1-DT,1,6,1,2,0,4,11,7,3,2
ENSG00000171735,CAMTA1,338,456,323,121,343,292,381,356,356,373
ENSG00000227950,ENSG00000227950,0,0,0,0,0,0,0,0,0,0
ENSG00000237365,CAMTA1-AS3,0,0,0,0,0,0,0,1,0,0
ENSG00000207056,RNU1-8P,0,0,1,0,0,0,0,0,1,0
ENSG00000237402,CAMTA1-IT1,0,0,0,1,1,2,1,0,2,1
ENSG00000237728,CAMTA1-AS2,0,0,0,0,0,0,0,1,0,0
ENSG00000225126,CAMTA1-AS1,0,0,0,0,0,0,1,0,0,0
ENSG00000270171,ENSG00000270171,1,2,2,0,3,2,2,2,2,1
ENSG00000270035,ENSG00000270035,0,3,3,2,5,0,0,3,1,1
ENSG00000269978,ENSG00000269978,3,6,1,1,6,2,3,1,2,5
ENSG00000049245,VAMP3,1067,824,1484,425,802,826,1532,1114,1167,926
ENSG00000269925,ENSG00000269925,8,9,8,4,5,2,8,7,3,7
ENSG00000049246,PER3,1154,1101,1985,834,997,1188,2121,1541,1034,1365
ENSG00000236266,ENSG00000236266,3,5,3,6,2,1,9,4,3,7
ENSG00000049247,UTS2,1,1,2,2,1,1,7,3,0,1
ENSG00000049249,TNFRSF9,0,1,0,2,3,1,2,17,6,0
ENSG00000270330,ENSG00000270330,0,0,0,0,0,0,0,0,0,0
ENSG00000116288,PARK7,574,664,732,328,494,509,915,758,900,716
ENSG00000200344,Y_RNA,0,0,0,0,0,0,0,0,0,0
ENSG00000284747,ENSG00000284747,5,5,4,7,6,14,7,9,10,8
ENSG00000284716,ENSG00000284716,4,1,5,1,0,0,1,0,1,1
ENSG00000116285,ERRFI1,2228,562,4037,560,482,328,1703,1247,1179,412
ENSG00000238290,ERRFI1-DT,3,3,4,1,3,2,3,5,5,0
ENSG00000232848,RPL7AP18,0,0,1,1,0,0,0,1,1,0
ENSG00000229305,ENSG00000229305,0,0,2,0,0,0,0,0,0,0
ENSG00000227634,LINC01714,0,0,0,0,0,0,0,0,0,0
ENSG00000200975,RNU1-7P,0,0,0,0,0,1,0,0,0,0
ENSG00000233645,ENSG00000233645,0,0,0,0,0,0,0,0,0,0
ENSG00000251977,RNU6-991P,0,0,0,0,0,0,0,0,0,0
ENSG00000162426,SLC45A1,103,87,102,110,71,55,100,113,70,77
ENSG00000252254,Y_RNA,0,0,2,0,0,0,1,1,0,0
ENSG00000142599,RERE,3792,3015,9255,3989,3849,4011,6883,3948,3780,3849
ENSG00000232912,RERE-AS1,10,6,7,8,1,3,11,4,0,1
ENSG00000221083,ENSG00000221083,5,6,4,4,5,12,9,4,2,7
ENSG00000270282,ENSG00000270282,0,0,0,1,0,0,0,0,0,0
ENSG00000234619,RPL7P11,0,0,0,0,0,0,1,1,0,0
ENSG00000224315,RPL7P7,12,16,12,23,30,35,18,15,33,31
ENSG00000222511,Y_RNA,2,1,2,1,3,3,3,3,1,2
ENSG00000226545,ENSG00000226545,0,0,0,0,0,0,0,0,0,0
ENSG00000228423,ENSG00000228423,14,15,5,14,26,20,11,12,17,28
ENSG00000229716,RPL23AP19,0,0,0,0,0,0,0,0,0,0
ENSG00000074800,ENO1,2034,1896,2274,1500,1613,1922,2702,2678,3493,2572
ENSG00000274258,MIR6728,0,0,0,0,0,0,0,0,2,0
ENSG00000236269,,6,8,4,2,3,1,7,5,3,5
ENSG00000230679,ENO1-AS1,0,0,0,0,0,0,1,0,0,2
ENSG00000201725,RNU6-304P,0,0,0,0,0,0,0,0,0,0
ENSG00000238249,HMGN2P17,1,6,1,0,1,0,2,3,3,3
ENSG00000232208,ENSG00000232208,0,0,0,0,0,0,0,1,0,0
ENSG00000232663,ENSG00000232663,0,0,0,0,0,0,0,0,0,0
ENSG00000131686,CA6,0,0,0,0,0,0,0,0,0,1
ENSG00000265141,RN7SL451P,8,14,9,4,7,8,8,10,17,16
ENSG00000197241,SLC2A7,0,2,0,0,0,1,0,0,0,2
ENSG00000142583,SLC2A5,7,27,29,3,48,47,35,146,341,254
ENSG00000252404,ENSG00000252404,0,0,0,0,0,0,0,0,0,0
ENSG00000180758,GPR157,60,38,99,83,51,70,133,92,92,77
ENSG00000228526,MIR34AHG,32,235,50,30,417,254,53,64,200,384
ENSG00000284357,MIR34A,0,0,0,0,0,0,0,0,0,0
ENSG00000234546,LNCTAM34A,1,15,4,2,26,29,5,10,28,26
ENSG00000281937,,0,0,0,0,0,1,1,3,2,1
ENSG00000049239,H6PD,2043,1926,2606,2463,1570,1604,3157,3384,2794,2436
ENSG00000171621,SPSB1,620,2582,1007,743,1522,1892,1247,1629,3994,3761
ENSG00000284652,ENSG00000284652,4,23,10,7,20,13,13,10,16,28
ENSG00000284693,LINC02606,25,60,30,31,44,66,57,51,103,80
ENSG00000252956,RNA5SP40,0,2,0,0,0,0,0,0,2,1
ENSG00000235263,ENSG00000235263,0,0,0,0,0,0,0,0,0,0
ENSG00000171612,SLC25A33,75,37,97,28,36,39,68,57,52,41
ENSG00000231181,ENSG00000231181,12,1,4,5,5,5,3,3,4,5
ENSG00000188807,TMEM201,147,132,195,133,195,187,221,239,320,245
ENSG00000171608,PIK3CD,153,99,158,105,127,111,223,201,192,85
ENSG00000179840,PIK3CD-AS1,0,1,0,0,1,1,0,0,1,1
ENSG00000233268,ENSG00000233268,0,0,0,0,0,0,0,0,0,0
ENSG00000231789,PIK3CD-AS2,1,4,10,10,6,10,8,14,16,6
ENSG00000171603,CLSTN1,3634,4201,6103,3836,3329,3135,6044,4934,4825,3502
ENSG00000271264,MZT1P1,0,0,0,0,0,0,0,0,0,0
ENSG00000280113,ENSG00000280113,0,2,1,0,4,4,3,0,4,4
ENSG00000178585,CTNNBIP1,141,167,176,110,163,232,279,205,250,230
ENSG00000223989,ENSG00000223989,0,0,0,1,1,0,0,1,2,0
ENSG00000162441,LZIC,298,313,368,126,294,367,439,363,396,345
ENSG00000228150,ENSG00000228150,4,1,1,0,5,2,3,4,2,6
ENSG00000173614,NMNAT1,97,103,107,68,91,84,154,118,144,91
ENSG00000202415,RN7SKP269,1,6,1,7,2,3,9,1,7,6
ENSG00000283611,TMEM274P,0,0,0,4,0,0,0,1,0,0
ENSG00000265521,MIR5697,1,0,0,0,1,1,1,0,1,4
ENSG00000241326,ENSG00000241326,0,0,0,0,0,0,0,0,0,0
ENSG00000162444,RBP7,68,25,213,40,58,35,82,75,63,14
ENSG00000130939,UBE4B,1398,941,2383,934,1061,1024,1838,1175,1406,984
ENSG00000224340,RPL21P21,0,0,0,0,0,0,0,0,0,0
ENSG00000233623,PGAM1P11,3,4,15,11,5,6,18,5,5,6
ENSG00000201746,RNU6-828P,6,6,10,3,1,6,7,8,5,7
ENSG00000054523,KIF1B,3243,2731,3684,1751,1891,1808,2982,1939,1783,1979
ENSG00000264881,ENSG00000264881,2,4,2,4,0,0,0,0,0,1
ENSG00000199562,RNU6-37P,17,11,13,6,6,6,11,2,6,5
ENSG00000264501,RN7SL731P,0,0,0,0,0,0,0,0,0,0
ENSG00000284735,ENSG00000284735,1,0,0,1,0,0,1,1,1,4
ENSG00000284642,ENSG00000284642,3,3,3,3,3,2,6,5,4,7
ENSG00000142657,PGD,291,404,266,139,340,353,384,433,644,416
ENSG00000271989,ENSG00000271989,0,0,0,0,0,0,0,0,0,0
ENSG00000251503,CENPS-CORT,0,0,1,1,1,0,2,0,0,1
ENSG00000175279,CENPS,9,22,13,3,6,7,16,4,5,8
ENSG00000241563,CORT,1,4,2,2,2,1,1,4,2,3
ENSG00000160049,DFFA,406,398,596,362,446,434,760,579,668,569
